indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
shoreline retreat by mid- and end of century,IPCC_sup_53,IPCC,0,ecosystems,Direct drivers,State of ecosystems (freshwater/coastal),Climate change,IPCC,FALSE
shrinking of the arctic ice cover,GEO_2_26_7,GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
simple daily intensity index (sdii),IPCC_11_50_537,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
simple precipitation intensity index,IPCC_sup_31,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
simulated global mean surface air temperature (gsat),IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
sink rate,IPCC_5_19_272,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
slope instability,IPCC_2_63_102,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
smoking,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
snow cover,IPCC_12_18_602,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,IPCC,FALSE
snow water equivalent at key seasonal dates,IPCC_12_19_604,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,IPCC,FALSE
snowfall,IPCC_8_28_371,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
so2 emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
social progress index,GA_2_25_34,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness,IPBES,FALSE
social welfare function (swf),VA_3_96_97,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
societal behaviour,GEO_17_20_212;GEO_17_22_214,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,GEO,FALSE
soil carbon sequestration,GEO_15_18_165,GEO,0,Ecosystem services,NA,Nature contribution,NA,GEO,FALSE
soil moisture,IPCC_8_33_375;IPCC_10_31_483;IPCC_12_17_601;IPCC_sup_48,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
soil moisture anomalies,IPCC_11_58_543;IPCC_sup_36,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
soil moisture deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
soil moisture-based drought events,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
soil organic carbon,GA_2.2_37_70;GA_2.3_39_137;IPBES_GA2.2_sup_23;IPBES_GA2.2_sup_24,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
soil organic carbon (soc) stocks,GBF_T10_CY_194;GEO_20_8_234,GBF;GEO,1,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution,GBF,TRUE
soil organic carbon (soc) stocks,GBF_T10_CY_194;GEO_20_8_234,GBF;GEO,1,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution,GEO,FALSE
soil quality impact on crop production,GA_2.3_42_143,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
sounds associated with the forest,SUA_2_97_80,IPBES,0,Human well-being,NA,Recreation,NA,IPBES,FALSE
south pacific convergence zone (spcz),IPCC_8_39_378,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
southern annular mode (sam) index,IPCC_2_85_141,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
southern oscillation index (soi),IPCC_2_86_146,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
spatial densities of relational values in an area,VA_2_38_28,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA,IPBES,FALSE
spatial distribution,GA_2.3_40_140,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
spatial distribution of species,SUA_2_96_79,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
spatiotemporal variability of meteorological parameters,IPCC_10_24_481,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
spawning stock biomass (related to commercially exploited species),GBF_T9_CY_190,GBF,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,GBF,TRUE
species abundance,GEO_6_16_54,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
species area relationship,GA_5_34_243,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
species dispersal ability,GEO_21_11_248,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
species distribution area and shift,GA_4_34_176,IPBES,0,biodiversity,biodiversity,State of biodiversity,Change in biodiversity,IPBES,FALSE
species habitat index,GBF_GA_C_3;GBF_T2_CY_130;GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_3_54_387;IPBES_GA2.2_sup_68,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
species habitat index,GBF_GA_C_3;GBF_T2_CY_130;GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_3_54_387;IPBES_GA2.2_sup_68,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
species negatively impacting biodiversity,IAS_6_56_150,IPBES,0,Knowledge systems,biodiversity,Information on biodiversity,Change in biodiversity,IPBES,FALSE
species occurrence records accessible through the global biodiversity information facility,GBF_T21_CY_249;GA_1_52_19;IPBES_GA3_sup_64,GBF;IPBES,1,Knowledge systems,NA,Information on biodiversity,NA,GBF,TRUE
species occurrence records accessible through the global biodiversity information facility,GBF_T21_CY_249;GA_1_52_19;IPBES_GA3_sup_64,GBF;IPBES,1,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
species protection index,GBF_T3_C_24;GBF_GA_CY_39;GBF_T3_CY_143;GA_1_52_19,GBF;IPBES,1,biodiversity,NA,Species conservation,NA,GBF,TRUE
species protection index,GBF_T3_C_24;GBF_GA_CY_39;GBF_T3_CY_143;GA_1_52_19,GBF;IPBES,1,biodiversity,NA,Species conservation,NA,IPBES,FALSE
species represented in the barcode of life data system,GA_1_52_19,IPBES,0,biodiversity,NA,Genetic resources,NA,IPBES,FALSE
species richness,GA_4_34_176;IAS_3_84_95,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
species richness per grid cell,GA_2.2_37_70;GA_2.2_47_90;IPBES_GA2.2_sup_53,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
species status index,GBF_T21_C_66;GBF_GA_CY_50;GBF_T21_CY_254;GA_1_52_19;IPBES_GA3_sup_61,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
species status index,GBF_T21_C_66;GBF_GA_CY_50;GBF_T21_CY_254;GA_1_52_19;IPBES_GA3_sup_61,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
species threat abatement and restoration metric,GBF_T4_CY_147;GBF_T15_CY_214,GBF,1,biodiversity,NA,Species conservation,NA,GBF,TRUE
species used for medicine,GA_2.3_22_127,IPBES,0,Knowledge systems,NA,ILK,NA,IPBES,FALSE
species with data included in the global biodiversity information facility,GA_3_49_379,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
specific humidity,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
speleothem records,IPCC_2_62_100,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
speleotherm records,IPCC_9_71_451,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
spread of alien species by pathway,IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
stability of land use and land cover,GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA,IPBES,FALSE
standardized groundwater index (sgi),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized precipitation evapotranspiration index (spei),IPCC_11_58_543;IPCC_11_60_549;IPCC_12_17_601;IPCC_12_85_726;IPCC_sup_41,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized precipitation index,IPCC_11_60_550;IPCC_12_17_601;IPCC_12_57_665;IPCC_12_57_666;IPCC_sup_34,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized precipitation index (spi),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized precipitation index accumulated over 6 months (spi-6),IPCC_sup_49,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized runoff index,IPCC_11_94_580;IPCC_12_17_601;IPCC_sup_38,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized runoff index (sri),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized soil moisture index,IPCC_sup_37,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized soil moisture index (ssmi),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized streamflow index,IPCC_sup_39,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
standardized streamflow index (ssi),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
statistical capacity indicator for sustainable development goal monitoring,SDG_G17.18.1_255;IPBES_SUA_sup_17.18.1_154,SDG;IPBES,1,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics,SDG,TRUE
statistical capacity indicator for sustainable development goal monitoring,SDG_G17.18.1_255;IPBES_SUA_sup_17.18.1_154,SDG;IPBES,1,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics,IPBES,FALSE
status of an individual or species as native or alien,IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
status of key biodiversity areas,GBF_T2_CY_125;GBF_T3_CY_132,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
status of migratory species in trade,CMS_G2.5_7,CMS,1,Knowledge systems,Ecosystem services,Information on biodiversity,Specific monetary valuation of nature contribution,CMS,TRUE
stock status,GEO_14_16_156,GEO,0,Ecosystem services,NA,Nature contribution,NA,GEO,FALSE
stock values of natural capital,VA_2_38_28,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
stranded debris,GEO_14_15_154,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
strategies of relevance to migratory species developed and implemented for minimizing genetic erosion,CMS_G4.12_21,CMS,1,Governance,biodiversity,Nature-based legislation,Genetic diversity,CMS,TRUE
strength of people’s connection to the forest,SUA_2_97_80,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
strom tracks and jets,IPCC_2_26_47,IPCC,0,Human assets,NA,Infrastructure (build-up area),NA,IPCC,FALSE
structural and functional connectivity of habitat,VA_2_38_28,IPBES,0,ecosystems,NA,State of ecosystems (integrity),NA,IPBES,FALSE
subsurface borehole temperature profiles,IPCC_2_31_65,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
sudden stratospheric warmings,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
suicide mortality rate,SDG_G3.4.2_38,SDG,1,Human well-being,NA,Wellness,NA,SDG,TRUE
sulphate in precipitation,IPCC_6_30_309,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
summer arctic sea ice extent,GEO_2_26_7,GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
surface albedo,IPCC_10_31_483,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface and upper air temperatures,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface humidity,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface moisture flux convergence,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface soil moisture,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface turbulent fluxes,IPCC_7_17_328,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
surface warming,IPCC_6_56_315,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
sustainability and nutrient efficiency of national dietary outcomes,GEO_17_11_203,GEO,0,Ecosystem services,NA,Nature contribution,NA,GEO,FALSE
sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,GEO,FALSE
sustainability dashboard,VA_2_8_10,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
sustainable development goals (sdg) index,GA_4_147_220,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
sustainable development goals index,VA_2_38_29,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
sustainable development index (sdi),VA_5_78_136,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
sustainable economic welfare (isew),VA_5_78_136,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_G14.7.1_190;IPBES_SUA_sup_14.7.1_117,SDG;IPBES,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation,SDG,TRUE
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_G14.7.1_190;IPBES_SUA_sup_14.7.1_117,SDG;IPBES,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation,IPBES,FALSE
sustainable fishing practices,GEO_17_8_200,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GEO,FALSE
sustainable resource management,GEO_17_20_212,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GEO,FALSE
sustainable use of wild species,GBF_T5_C_32,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
sustainable watershed and inland fisheries index,GBF_T5_CY_154,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
sustainable well-being index (swi),VA_2_38_29,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
taxa assessed for the red list index,GA_3_49_379,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
temperature,IAS_2_5_11;IPCC_2_28_57;IPCC_10_77_504,IPBES;IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
temperature,IAS_2_5_11;IPCC_2_28_57;IPCC_10_77_504,IPBES;IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
temporal species turnover,GA_1_52_19,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
terrestrial c sequestration,GA_2.2_37_70;IPBES_GA2.2_sup_34,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
terrestrial net primary production,GA_2.2_37_70;GA_2.2_42_82;GA_2.3_39_137;IPBES_GA2.2_sup_35;IPBES_GA2.2_sup_36,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,IPCC,FALSE
terrestrial snow cover,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
terrestrial vegetation biomass,GA_2.2_1_50,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
the conservation status of species listed on the cites appendices has stabilized or improved,CITES_G1.5.1_5,CITES,1,biodiversity,NA,Change in biodiversity,NA,CITES,TRUE
the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T3_C_23,GBF,1,Governance,ecosystems,Nature-based legislation,Area conservation,GBF,TRUE
themes in a text representing nature´s values,VA_2_38_28,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
thermokarst,IPCC_2_63_102,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
thermosteric sea level,IPCC_1_70_30,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
threshold level methods,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
threshold when flooding occurs about once every two weeks,IPCC_12_20_605,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Natural drivers,IPCC,FALSE
threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
thresholds related to antecedent wet periods,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
tide gauge,IPCC_9_85_462;IPCC_12_73_700,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
timber production (m3),GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
time needed or distance travelled to harvest resources,GA_2.2_65_113,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
"time needed to harvest resources, distance travelled to harvest resources",GA_2.2_5_55,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
time series of normalized difference vegetation index (ndvi),IPCC_1_67_28,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
toa energy budget,IPCC_7_82_356,IPCC,0,Ecosystem services,NA,Nature contribution,NA,IPCC,FALSE
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1,Governance,NA,Nature-based funding,NA,GBF,TRUE
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1,Governance,NA,Nature-based funding,NA,SDG,TRUE
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1,Governance,NA,Nature-based funding,NA,UNCCD,TRUE
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1,Governance,NA,Nature-based funding,NA,IPBES,FALSE
total catch of cetaceans under international convention for the regulation of whaling,GBF_T5_CY_157,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_T8_C_40,GBF,1,Ecosystem services,NA,Nature contribution,NA,GBF,TRUE
total dissolved solids (tds),GA_3_74_399,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
total gobal population living in water scarce areas,GEO_20_8_234,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
"total government revenue as a proportion of gross domestic product, by source",SDG_G17.1.1_236;IPBES_SUA_sup_17.1.1_138,SDG;IPBES,1,Human assets,NA,Information on society and socio-economics,NA,SDG,TRUE
"total government revenue as a proportion of gross domestic product, by source",SDG_G17.1.1_236;IPBES_SUA_sup_17.1.1_138,SDG;IPBES,1,Human assets,NA,Information on society and socio-economics,NA,IPBES,FALSE
total greenhouse gas emissions per year,SDG_G13.2.2_179;GA_2_118_47;IPBES_SUA_sup_13.2.2_106,SDG;IPBES,1,Direct drivers,NA,Climate change,NA,SDG,TRUE
total greenhouse gas emissions per year,SDG_G13.2.2_179;GA_2_118_47;IPBES_SUA_sup_13.2.2_106,SDG;IPBES,1,Direct drivers,NA,Climate change,NA,IPBES,FALSE
total hectares of ramsar sites that have been designated,RAMSAR_SG2.6_22,RAMSAR,1,ecosystems,NA,Area conservation,NA,RAMSAR,TRUE
total imports,IAS_2_5_11,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
total investments into capacity-building efforts,CITES_G3.7.3_33,CITES,1,Governance,Governance,National/international cooperation,Nature-based funding,CITES,TRUE
total land footprint,GA_2_118_47,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
total net official development assistance to medical research and basic health sectors,SDG_G3.b.2_51,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_GC_CY_91;GBF_T13_CY_206,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA,GBF,TRUE
