indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,1,,,1,1,1,risk reduction strategies,nature-based legislation,legislative arrangements,governance,FALSE
percentage of terrestrial domesticaled animal breeds at risk,,1,,,,1,risk status of local breeds,nature contribution,ecosystem services,ecosystem services,FALSE
"proportion of local breeds (wild species) classified as being at risk, not-at-risk or at unknown level of risk of extinction",,,,1,,1,risk status of local breeds,nature contribution,ecosystem services,ecosystem services,FALSE
proportion of local breeds classified as being at risk of extinction,1,,,1,1,1,risk status of local breeds,nature contribution,ecosystem services,ecosystem services,FALSE
"proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction",,,,,1,,risk status of local breeds,nature contribution,ecosystem services,ecosystem services,FALSE
river fragmentation index,1,,,,,,river fragmentation index,state of ecosystems (freshwater/coastal),ecosystems,ecosystems,FALSE
road-building,,1,,,,1,road-building,build-up area,financial assets,financial assets,FALSE
rule of law index,,1,,,,1,rule of law index,legislation/governance,legislative arrangements,governance,FALSE
creation of new rural urban network.,,1,,,,1,rural urban network,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
proportion of population using safely managed drinking water services,1,,,1,1,1,safely managed drinking water services,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
salinity pollution,,1,,,,1,salinity pollution,pollution,pollution,direct drivers,FALSE
saltmarsh distribution and abundance,,1,,,,1,saltmarch extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
longer time series,,1,,,,1,,,,,FALSE
schooling,,,,1,,1,schooling,access to education,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
scientific knowledge,,1,,,,1,scientific knowledge,information on society,scientific knowledge,scientific knowledge,FALSE
joint scientific papers published (in ocean biodiversity information system (obis)) by sector,1,,,,,,scientific papers published,information on society,scientific knowledge,scientific knowledge,FALSE
sea surface temperatures,,1,,,,1,sea surface temperatures,state of ecosystems (marine),ecosystems,ecosystems,FALSE
extent of physical damage indicator to predominant seafloor habitats physical damage,1,,,,,,seafloor habitats physical damage,state of ecosystems (marine),ecosystems,ecosystems,FALSE
seafood availability due to ocean acidification (e.g. shellfish),,1,,,,1,seafood availability due to ocean acidification,pollution,pollution,direct drivers,FALSE
seafood produced,,1,,,,1,seafood produced,exploitation,exploitation,direct drivers,FALSE
seagrass meadow area,,1,,,,1,seagrass meadow area,state of ecosystems,ecosystems,ecosystems,FALSE
seasonal calendar of manangin in the trans-himalayas,,,,1,,1,seasonal calendar of manangin in the trans-himalayas,ILK,ILK,ILK,FALSE
seasonal calendars and seasonal migratory calendars,,,,1,,1,seasonal calendars and seasonal migratory calendars,ILK,ILK,ILK,FALSE
secure universal basic needs,,,1,,,1,secure universal basic needs,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
air–sea and sediment–water fluxes of carbon and co2,,1,,,,1,sediment–water fluxes of carbon,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
share of main groups of species in fish trade in terms of value,,,,1,,1,share of main groups of species in fish trade in terms of value,monetary nature contribution,ecosystem services,ecosystem services,FALSE
sharing and trading institutions,,,,1,,1,sharing and trading institutions,national/international cooperation,legislative arrangements,governance,FALSE
shelter,,1,,,,1,shelter,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
monitor resource status within small scale fisheries,,,,1,,1,small scale fisheries,monetary nature contribution,ecosystem services,ecosystem services,FALSE
social inclusion,,,,1,,1,social inclusion,equity,equity and freedom of choice and action,wellness,FALSE
social progress index,,1,,,,1,social progress index,wellness/well-being,equity and freedom of choice and action,wellness,FALSE
"criteria for effectiveness from selected publications. 4 dimensions: ecological sustainability (where ecological objectives are met, including maintaining or improving species, habitats, diversity, and abundance), social sustainability (where social objectives are met including supporting equity, material, relational and subjective wellbeing), economic sustainability (where economic objectives are met including sustaining income, livelihoods and trade), institutional sustainability (where institutional objectives are met including enabling cost effective, participatory process, incorporation of indigenous and local knowledge, and integration between international and national regulations).",,,,1,,1,social sustainability,information on society,scientific knowledge,scientific knowledge,TRUE
social sustainability index,,1,,,,1,social sustainability index,wellness/well-being,equity and freedom of choice and action,wellness,FALSE
social welfare function: makes the societal attitudes towards inequality explicit in the aggregating function,,,1,,,1,social welfare function,equity,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
socio-cultural (reference to nature in storeis),,,1,,,1,socio-cultural (reference to nature in stories),information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
socio-cultural drivers,,,1,,,1,socio-cultural drivers,information on society,scientific knowledge,scientific knowledge,FALSE
social-ecological indicators,,1,,,,1,socio-ecological indicators,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
socio-ecological indicators such as hunting success,,,,1,,1,socio-ecological indicators,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
socioeconomic indicators,,1,,,,1,socioeconomic indicators,information on socio-economics,scientific knowledge,scientific knowledge,FALSE
