indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
growing season of terrestrial biota,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
benthich isotopes,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
marine sediment cores,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
paleo-temperature records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
zonally averaged mean annual temperature reconstructions,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
subsurface borehole temperature profiles,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
changes in land versus world trade organisation greenbox agricultural subsidies,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Governance,NA,Nature-Based Funding,NA
global vegetation cover,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Coverage),NA
atmospheric dust deposition,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Pollution,NA
changes in observed cloud cover,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
satellite observations of precipitation,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
upper tropospheric humidity,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
sh monsoons,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
air moisture,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
loss of older ice,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
mean arctic sea ice area,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
marine sediments,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
whaling records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
old ship logbooks,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA
ice core records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
early nimbus satellite visible and infrared imagery,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
glacier areal and mass changes/loss rate,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
greenland ice sheet fluctuations,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
marine sediments below the ice sheet,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
speleothem records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
permafrost-vegetation relationships,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
permafrost temperature,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
ground subsidence,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
thermokarst,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
slope instability,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
ice cores,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Direct Drivers,State Of Ecosystems,Climate Change
sediment cores,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
reef growth,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Ecosystems,State Of Ecosystems (Marine),Change In Ecosystems
atlantic meridional overturning circulation (amoc),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
seasonal variations in atmospheric co2 concentrations,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Marine),NA
phytoplankton abundance,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA
clorophyll concentration,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Marine),NA
phytoplankton community structure,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
distribution of species,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
el niño-southern oscillation (enso) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
changes in phytoplankton phenology,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Biodiversity,NA,Change In Biodiversity,NA
ocean-colour,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems (Marine),NA
normalized difference vegetation index (ndvi),NA,1,"GEO,IPCC",NA,2,0,2,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
northernmost location of the treeline,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA
ocenan ph,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
north atlantic oscillation (nao) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
northern annular mode (nam) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
southern annular mode (sam) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
oceanic niño index (oni),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
southern oscillation index (soi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
pacific decadal oscillation (pdo),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
inter-decadal pacific oscillation (ipo) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
atlantic multi-decadal variability (amv) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
volcanic activity,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Natural Drivers,NA
ghg changes,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
aerosol changes,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
tree rings,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA
hadley circulation cell,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
sea ice thermodynamic,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
ocean temperature,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
atmosphere-land co2 fluxes,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
land-use and management,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
wildfires,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA
indian ocean dipole index (iod),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
indian ocean basin (iob) index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
pacific decadal variability (pdv),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
indian ocean dipole (ipo),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
ocean salinity,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
global surface air temperature (gsat),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
global land precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
arctic sea ice area,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,State Of Ecosystems,NA
global mean ocean surface ph,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
carbon uptake by land and ocean,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystem Services,Ecosystems,Nature Contribution,State Of Ecosystems
northern and southern annular modes (nam and sam),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
circulation index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
ocean ph,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
land monsoon precipitation index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
northern hemisphere summer monsoon circulation index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
el niño-southern oscillation (enso) index bjerknes index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
changes in mean precipitation,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
annular mode index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
land-use co2 emissions,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
fossil co2 emissions,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
non-co2 fossil-fuel emissions,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
land-use related non-co2 emissions,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
co2 concentration,NA,1,"GEO,IPCC",NA,2,0,2,0,NA,1,1,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
ice core measurements,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Direct Drivers,State Of Ecosystems,Climate Change
sink rate,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
15n/14n isotope ratio,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
position of 15n atom in atmospheric n2o,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
atmospheric inversions,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
interannual variability of primary production (pp),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
global carbon budget,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
global dust deposition,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,Direct Drivers,Climate Change,Pollution
global annual mean tropospheric ozone burden,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions
tropospheric no2 abundance,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
satellite formaldehyde (hcho) observations,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
sulphate in precipitation,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
surface warming,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
sectoral emissions density,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
population-weighted pm2.5 concentrations,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Pollution,NA
population-weighted ozone concentrations,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Pollution,NA
transient climate response tcr,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
equilibrium climate sensitivity ecs,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
surface turbulent fluxes,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
aerosol index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Pollution,NA
ghs effective radiative forcing,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Pollution,NA
antarctic ice sheet loss,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
net climate feedback,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA
planck temperature response,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
global surface temperature,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
toa energy budget,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
profile of effective radiative forcing (erf),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
emission of particular compounds,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
radiative forcing,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
absolute global forcing potential (agfp),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
absolute global temperature change potential (agtp),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Climate Change,NA
changes in precipitation frequency and intensity,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,Direct Drivers,Abiotic Conditions,Climate Change
precipiation,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
snowfall,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
soil moisture,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
south pacific convergence zone (spcz),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
inter-tropical convergence zone (itcz) narrowing,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
rainfall,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
poleward shifts in the south atlantic convergence zone (sacz),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
land rainfall over mc,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
marine cloudiness over mc,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
surface moisture flux convergence,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
blocking index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
water vapour residence time,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
plant water use efficiency (wue),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA
rainfall variability,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
tropical precipitation,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
atmospheric internal variability,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
volcanic eruptions,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Direct Drivers,NA,Natural Drivers,NA
ocean heat content ohc,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
greenland blocking index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Climate Change,NA
bedrock topography,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
grounding line retreat,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
retreat of ice sheet,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
glaciar mass loss,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Change In Ecosystems,NA
lake sediments,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,State Of Ecosystems,NA
speleotherm records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
tide gauge,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
power dissipation index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
spatiotemporal variability of meteorological parameters,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
surface albedo,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
sedimentary records,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Knowledge Systems,Ecosystems,Specific Information On Human-Nature Relationship,Abiotic Conditions
extreme temperatures,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
daily precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
daily temperature,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
mean air temperature,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
"changes in the number of warm nights, warm days, cold nights, and cold days",NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
combined extreme index (cei),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
minimum temperature,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
reduction in post-volcanic eruption extreme precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
simple daily intensity index (sdii),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
highest five day precipitation amount (rx5day),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
highest one day precipitation amount (rx1day),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
days of heavy precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
annual precipitation from daily precipitation > 95th percentile (r95p),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized precipitation index (spi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
consecutive dry days (cdd),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation deciles and percentiles,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
potential evaporation anomalies,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
evaporative demand drought index (eddi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized soil moisture index (ssmi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized runoff index (sri),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized streamflow index (ssi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
threshold level methods,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
standardized groundwater index (sgi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation deficits,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
excess of atmospheric evaporative demand (aed),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
soil moisture deficits,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
hydrological deficits,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
atmospheric evaporative demand (aed),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
number of consecutive dry days (cdd),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
total soil moisture,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
soil moisture-based drought events,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
surface soil moisture,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
water-balance estimates,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
changes in low flows,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
changes in mean streamflow,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
pan evaporation measurements,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
penman-monteith aed (atmospheric evaporative demand),NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
genesis potential index,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA
increase in global tc maximum surface wind speeds,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
accumulated cyclone energy (ace),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
heat index (hi),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
daily maximum tempreature above 35°c,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
climate velocity,NA,1,IPCC,NA,1,0,1,0,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA
accumulated seasonal heat,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
extreme canopy temperatures,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
2 m air temperatures,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
heat stress (humidity and temperature),NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
10-day cumulative precipitation,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
precipitation intensity-duration thresholds,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
thresholds related to antecedent wet periods,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
thresholds related to antecedent extreme rainfall intensities,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,NA,Abiotic Conditions,NA
changes in soil moisture,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Ecosystems,Abiotic Conditions,Change In Ecosystems
changes in surface water,NA,1,IPCC,NA,1,0,1,0,NA,1,NA,Ecosystems,Ecosystems,Abiotic Conditions,Change In Ecosystems
